Product,UN Region,Country,Organisation,Metric Tons,Price
LD01820,East Asia,South Korea,Prime Chemicals,816.75,1097.42
PP1013H1,East Asia,China,Global Chemicals,470.25,1163.12
PP7032E2,East Asia,China,Dynamic Resins,420.75,1051.78
PP1013H1,East Asia,South Korea,Vertex Industries,742.5,1046.09
LD01820,East Asia,South Korea,Vertex Materials,198.0,1068.04
PP7032E2,East Asia,Mongolia,Global Polymers,618.75,1133.59
HD5001,East Asia,China,Global Resins,990.0,1163.17
PP1013H1,East Asia,China,Summit Resins,272.25,1096.77
PP9054,East Asia,China,Omni Solutions,49.5,1138.17
PP9054,East Asia,China,Prime Industries,99.0,1189.06
HD5001,East Asia,Japan,Global Industries,321.75,1064.11
PP1013H1,East Asia,Japan,Advanced Resins,594.0,1058.41
LL0825,East Asia,South Korea,Dynamic Resins,272.25,1015.81
LD01820,East Asia,China,Omni Resins,717.75,1112.4
PP7032E2,East Asia,Mongolia,Vertex Resins,123.75,1038.28
HD5001,East Asia,South Korea,United Materials,371.25,1180.12
LL0825,East Asia,South Korea,Omni Industries,99.0,1066.05
PP9054,East Asia,China,Summit Polymers,272.25,1048.7
PP9054,East Asia,Japan,Summit Resins,990.0,1017.14
HD5001,East Asia,South Korea,Dynamic Solutions,668.25,1001.9
LL0825,East Asia,China,Global Materials,49.5,1078.38
PP7032E2,East Asia,Mongolia,United Resins,222.75,1179.83
PP7032E2,East Asia,China,United Solutions,222.75,1082.47
PP7032E2,East Asia,China,Global Resins,915.75,1105.21
PP1013H1,East Asia,Mongolia,Global Solutions,668.25,1091.84
PP1013H1,East Asia,Mongolia,United Solutions,297.0,1189.77
LD01820,East Asia,China,Advanced Resins,198.0,1084.43
PP7032E2,East Asia,Mongolia,Omni Resins,49.5,1093.58
LL0825,East Asia,Japan,Prime Materials,74.25,1131.03
LD01820,East Asia,Japan,Advanced Chemicals,668.25,1050.22
LL0825,East Asia,Japan,Dynamic Polymers,742.5,1072.38
LD01820,East Asia,South Korea,Advanced Polymers,272.25,1103.97
LD01820,East Asia,China,Summit Industries,99.0,1107.06
LD01820,East Asia,Japan,Dynamic Industries,495.0,1081.38
PP1013H1,East Asia,Japan,Vertex Industries,173.25,1145.66
PP7032E2,East Asia,Mongolia,Global Chemicals,148.5,1059.28
PP9054,East Asia,China,Summit Solutions,99.0,1116.68
PP1013H1,East Asia,Japan,Dynamic Resins,148.5,1176.39
PP9054,East Asia,China,Advanced Resins,594.0,1060.47
PP7032E2,East Asia,South Korea,Summit Materials,396.0,1003.9
PP9054,East Asia,Japan,Dynamic Materials,940.5,1037.04
HD5001,East Asia,South Korea,Vertex Materials,643.5,1014.3
LD01820,East Asia,Mongolia,Dynamic Chemicals,445.5,1166.37
PP7032E2,East Asia,Japan,Omni Resins,891.0,1118.26
HD5001,East Asia,Japan,Omni Industries,49.5,1104.84
HD5001,East Asia,Japan,Dynamic Resins,643.5,1155.91
HD5001,East Asia,South Korea,Prime Materials,668.25,1085.83
PP9054,East Asia,Japan,Dynamic Industries,693.0,1157.19
LL0825,East Asia,Mongolia,Dynamic Chemicals,222.75,1083.54
LL0825,East Asia,South Korea,Advanced Materials,396.0,1140.3
PP9054,East Asia,China,Dynamic Materials,74.25,1090.11
PP7032E2,East Asia,Japan,United Chemicals,717.75,1056.86
PP7032E2,East Asia,China,Omni Solutions,990.0,1166.08
LL0825,East Asia,South Korea,United Resins,495.0,1010.77
PP1013H1,East Asia,Mongolia,Dynamic Industries,891.0,1051.05
HD5001,East Asia,Japan,Omni Solutions,519.75,1193.14
LL0825,East Asia,Mongolia,Advanced Polymers,767.25,1085.7
LD01820,East Asia,Japan,United Polymers,915.75,1062.26
HD5001,East Asia,Mongolia,Global Chemicals,123.75,1141.62
PP9054,East Asia,South Korea,Omni Chemicals,594.0,1089.32
PP7032E2,East Asia,Mongolia,Global Resins,74.25,1094.65
PP9054,East Asia,Mongolia,United Resins,594.0,1155.61
PP7032E2,East Asia,South Korea,Dynamic Materials,693.0,1031.72
HD5001,East Asia,Japan,Summit Chemicals,742.5,1125.01
HD5001,East Asia,Mongolia,Vertex Polymers,49.5,1082.51
